AAPL,Technology
NVDA,Technology
MSFT,Technology
GOOG,Communication Services
AMZN,Consumer Discretionary
META,Communication Services
TSLA,Consumer Discretionary
AVGO,Technology
WMT,Consumer Staples
JPM,Financials
V,Financials
XOM,Energy
ORCL,Technology
MA,Financials
HD,Consumer Discretionary
JNJ,Healthcare
ABBV,Healthcare
BAC,Financials
KO,Consumer Staples
CRM,Technology
CVX,Energy
TMUS,Communication Services
AMD,Technology
SPOT,Communication Services
DIS,Communication Services
TSM,Technology
NET,Technology
PLTR,Technology
GE,Industrials
CSCO,Technology
WFC,Financials
PM,Consumer Staples
MS,Financials
IBM,Technology
GS,Financials
ABT,Healthcare
AXP,Financials
LIN,Materials
MCD,Consumer Staples
T,Communication Services
RTX,Industrials
CAT,Industrials
UBER,Communication Services
VZ,Communication Services
C,Financials
ANET,Technology
INTU,Technology
MU,Technology
GEV,Industrials
SCHW,Financials
SPGI,Financials
BA,Industrials
ISRG,Healthcare
TJX,Consumer Discretionary
LOW,Consumer Discretionary
BSX,Healthcare
LRCX,Technology
COF,Financials
ETN,Industrials
SYK,Healthcare
PGR,Financials
GILD,Healthcare
PANW,Technology
HON,Industrials
KKR,Financials
DE,Industrials
CRWD,Technology
ADI,Technology
ADP,Technology
LMT,Industrials
